Date,AQI
30-11-2020,318
01-12-2020,367
02-12-2020,373
03-12-2020,341
04-12-2020,382
05-12-2020,404
06-12-2020,389
07-12-2020,400
08-12-2020,383
09-12-2020,358
10-12-2020,284
11-12-2020,295
12-12-2020,356
13-12-2020,305
14-12-2020,160
15-12-2020,230
16-12-2020,262
17-12-2020,256
18-12-2020,281
19-12-2020,290
20-12-2020,321
21-12-2020,332
22-12-2020,418
23-12-2020,433
24-12-2020,423
25-12-2020,357
26-12-2020,337
27-12-2020,396
28-12-2020,253
29-12-2020,265
30-12-2020,290
31-12-2020,347
01-01-2021,441
02-01-2021,443
03-01-2021,354
04-01-2021,151
05-01-2021,140
06-01-2021,226
07-01-2021,255
08-01-2021,234
09-01-2021,301
10-01-2021,245
11-01-2021,243
12-01-2021,293
13-01-2021,354
14-01-2021,429
15-01-2021,460
16-01-2021,407
17-01-2021,347
18-01-2021,372
19-01-2021,404
20-01-2021,283
21-01-2021,296
22-01-2021,364
23-01-2021,326
24-01-2021,364
25-01-2021,323
26-01-2021,330
27-01-2021,318
28-01-2021,357
29-01-2021,387
30-01-2021,309
31-01-2021,289
01-02-2021,352
02-02-2021,364
03-02-2021,330
04-02-2021,316
05-02-2021,133
06-02-2021,199
07-02-2021,232
08-02-2021,303
09-02-2021,305
10-02-2021,291
11-02-2021,330
12-02-2021,341
13-02-2021,334
14-02-2021,351
15-02-2021,313
16-02-2021,327
17-02-2021,324
18-02-2021,302
19-02-2021,311
20-02-2021,250
21-02-2021,296
22-02-2021,288
23-02-2021,250
24-02-2021,278
25-02-2021,298
26-02-2021,229
27-02-2021,203
28-02-2021,208
01-03-2021,177
02-03-2021,175
03-03-2021,188
04-03-2021,278
05-03-2021,255
06-03-2021,204
07-03-2021,256
08-03-2021,207
09-03-2021,283
10-03-2021,175
11-03-2021,242
12-03-2021,218
13-03-2021,209
14-03-2021,209
15-03-2021,206
16-03-2021,258
17-03-2021,311
18-03-2021,315
19-03-2021,279
20-03-2021,234
21-03-2021,244
22-03-2021,196
23-03-2021,244
24-03-2021,175
25-03-2021,148
26-03-2021,150
27-03-2021,199
28-03-2021,233
29-03-2021,225
30-03-2021,232
31-03-2021,203
01-04-2021,182
02-04-2021,176
03-04-2021,159
04-04-2021,171
05-04-2021,205
06-04-2021,279
07-04-2021,250
08-04-2021,153
09-04-2021,170
10-04-2021,181
11-04-2021,186
12-04-2021,241
13-04-2021,231
14-04-2021,199
15-04-2021,220
16-04-2021,238
17-04-2021,128
18-04-2021,154
19-04-2021,187
20-04-2021,191
21-04-2021,134
22-04-2021,140
23-04-2021,126
24-04-2021,125
25-04-2021,192
26-04-2021,256
27-04-2021,284
28-04-2021,312
29-04-2021,296
30-04-2021,287
01-05-2021,238
02-05-2021,174
